logFC	logCPM	LR	PValue	FDR
fig|6666666.230262.peg.3124	-1.65237895643743	6.91360806635815	76.1658585875232	2.60812221166546e-18	1.71187657892951e-16
fig|6666666.230262.peg.4085	-1.13625151430858	7.7961165502964	75.6674162671261	3.35701846220569e-18	2.17053790720523e-16
fig|6666666.230262.peg.2114	1.04582877357513	13.919164717291	72.9350596302312	1.33986761434662e-17	8.5357448608082e-16
fig|6666666.230262.peg.296	1.45037959497548	5.74939734113321	72.5860684203121	1.59903902683742e-17	9.89576723465672e-16
fig|6666666.230262.peg.1087	1.07754869457907	7.45311083412519	72.3036890085273	1.84502171619679e-17	1.12572310909359e-15
fig|6666666.230262.peg.1667	1.03624105652598	11.6743792035372	71.757495778032	2.43337807961864e-17	1.46167613494104e-15
fig|6666666.230262.peg.4209	1.3477345175645	6.56827558436577	71.7264033572213	2.47202510784447e-17	1.46167613494104e-15
fig|6666666.230262.peg.1154	-1.31760214516671	7.66105608910135	71.7066776447599	2.49686135700916e-17	1.46167613494104e-15
fig|6666666.230262.peg.1414	1.49733644766031	5.92720880830788	69.9735541074248	6.01048970831333e-17	3.33813351492479e-15
fig|6666666.230262.peg.2851	1.27578878395577	6.46837482368383	69.0832551220668	9.43933985443081e-17	5.11140253117428e-15
fig|6666666.230262.peg.1234	1.04705101207133	7.04033912188189	68.4456673272241	1.30421971998528e-16	6.97516028021755e-15
fig|6666666.230262.peg.595	1.06951362984082	6.82172118789398	68.0527501949119	1.59179658027569e-16	8.40934486067595e-15
fig|6666666.230262.peg.3418	1.77310972535599	5.10260866268214	67.5125740123806	2.09347696325015e-16	1.07963597676186e-14
fig|6666666.230262.peg.1915	-1.63405744141837	6.87288542367139	66.813413244996	2.98460411157677e-16	1.50340755945937e-14
fig|6666666.230262.peg.2181	-1.18199097937961	7.46916868116597	66.5484554797765	3.41397464743032e-16	1.69992392789289e-14
fig|6666666.230262.peg.3191	1.34671756425475	6.06259206859333	63.3282474381973	1.74977018220273e-15	8.23913524924156e-14
fig|6666666.230262.peg.3166	-1.28638629059157	6.59862324988798	62.6081284114127	2.52210398644303e-15	1.17481230852379e-13
fig|6666666.230262.peg.1304	1.05161610735167	11.4997727045868	61.0762564932155	5.49063441193737e-15	2.45210600747554e-13
fig|6666666.230262.peg.382	-1.08566621923402	7.80654172659589	57.137980151912	4.06283355888552e-14	1.72550931147961e-12
fig|6666666.230262.peg.3144	-1.0187515042764	7.70070556154846	55.9349137867061	7.49103594560033e-14	3.12030458810967e-12
fig|6666666.230262.peg.3890	1.09681773585264	6.54846751315357	54.5511406061123	1.51454718481454e-13	6.18964000435526e-12
fig|6666666.230262.peg.3627	1.10564698909708	6.53050843069521	54.2136575275228	1.79832573311068e-13	7.21328432947728e-12
fig|6666666.230262.peg.1121	1.09208696038877	9.00158671816563	53.414147765244	2.7014431187619e-13	1.06387741731605e-11
fig|6666666.230262.peg.1660	1.26080837805644	5.65837408083984	53.2960325542069	2.86885369539885e-13	1.11962830706917e-11
fig|6666666.230262.peg.4163	1.51563000041628	5.1962471288787	52.8475493886736	3.60468139551402e-13	1.38276229971404e-11
fig|6666666.230262.peg.4311	-1.3797267454498	6.96477899050082	52.8463253997876	3.60692843646551e-13	1.38276229971404e-11
fig|6666666.230262.peg.165	-2.16846811949057	5.45583368880996	50.5653701467961	1.15260969157181e-12	4.23144507109244e-11
fig|6666666.230262.peg.2725	1.02385840906136	10.0416476670428	50.3620028027889	1.27845766566471e-12	4.61523217304962e-11
fig|6666666.230262.peg.2210	1.73807916717771	4.88936229336572	49.465583303787	2.01882522893209e-12	7.11020397701935e-11
fig|6666666.230262.peg.512	-1.03473131604948	6.93718021980623	47.6753421258236	5.02978279618648e-12	1.70226711508436e-10
fig|6666666.230262.peg.3428	1.03929656950834	6.22726480824834	47.6124148951407	5.19385199366434e-12	1.74416797182588e-10
fig|6666666.230262.peg.599	1.19114851799553	6.13125330804007	46.5919164190568	8.74201308735385e-12	2.89087028201655e-10
fig|6666666.230262.peg.1327	-1.36445306366357	6.11615202242005	43.8317947306424	3.57844284907929e-11	1.11523844764111e-09
fig|6666666.230262.peg.3084	1.15477921887272	6.30867886888525	43.1510979149551	5.06714543540759e-11	1.54583619902716e-09
fig|6666666.230262.peg.1344	1.13042530889689	5.8485132132578	39.228260932498	3.7704306691615e-10	1.03376618093719e-08
fig|6666666.230262.peg.3430	1.7694099842699	4.13302244907867	38.5936143680288	5.21893935597804e-10	1.41302783063105e-08
fig|6666666.230262.peg.3404	1.82451151803287	4.99213302527154	37.7831105223758	7.90633243497633e-10	2.10124123363911e-08
fig|6666666.230262.peg.3835	-1.21293745075076	6.37165710720549	36.8003250267199	1.30868430340149e-09	3.35456828540547e-08
fig|6666666.230262.peg.1478	-1.67256712574361	5.44298277430734	35.4842809545715	2.57117143643061e-09	6.40133026587207e-08
fig|6666666.230262.peg.3122	-1.72548202125057	5.55816651968275	34.753237410258	3.74255826502875e-09	9.15975277068054e-08
fig|6666666.230262.peg.2613	-1.42206986167426	6.21259379335031	34.1171922021319	5.18907725080061e-09	1.24193826798167e-07
fig|6666666.230262.peg.297	1.2764555980574	5.0369147746711	33.7526534062136	6.25836235104687e-09	1.45759277982446e-07
fig|6666666.230262.peg.1876	-1.25296993540807	6.1801185786522	32.5978759036041	1.13338547149241e-08	2.50501319515566e-07
fig|6666666.230262.peg.1147	2.25436006192233	3.70584229760063	31.6967226394499	1.80226079883901e-08	3.84600678845843e-07
fig|6666666.230262.peg.691	1.1397868829852	5.25443516482376	31.380019478576	2.1215295127992e-08	4.50513031835594e-07
fig|6666666.230262.peg.3361	-1.07314539344314	6.11117920429069	30.3727909772811	3.56493681371837e-08	7.1496788319574e-07
fig|6666666.230262.peg.2378	1.04738112417429	5.48772122752803	29.3344596254128	6.09029708500404e-08	1.15715644615077e-06
fig|6666666.230262.peg.1849	1.05877455007595	5.53505147175348	29.0786126778712	6.95000105751992e-08	1.29773295608519e-06
fig|6666666.230262.peg.1390	-1.02724669704981	6.31720015026195	28.6035829860637	8.88176861864647e-08	1.6372690066373e-06
fig|6666666.230262.peg.2514	-1.17434644146237	6.20611522198169	28.4337706831564	9.69591522019134e-08	1.77226602252611e-06
fig|6666666.230262.peg.3709	1.47325999775814	4.75610353270608	27.9875108239649	1.22100952805849e-07	2.16779232604483e-06
fig|6666666.230262.peg.2180	-1.73494631551535	4.84598314033203	27.4283882315719	1.630205109535e-07	2.81356515318949e-06
fig|6666666.230262.peg.2616	-1.19965792590784	7.06387621751252	27.2168154020485	1.81869994366731e-07	3.11407436994735e-06
fig|6666666.230262.peg.1035	-1.27941063537704	5.69933695842782	27.095564123302	1.93641769852959e-07	3.30258325591739e-06
fig|6666666.230262.peg.2508	-1.26854823019651	5.53510216782318	25.7715825766477	3.84305349352837e-07	6.1888876334442e-06
fig|6666666.230262.peg.1349	1.09865369543674	7.00921187364479	25.5132509403512	4.39355043832501e-07	7.0231957560236e-06
fig|6666666.230262.peg.4155	1.11465692968783	5.19402130526028	24.0019699429415	9.62371860522935e-07	1.41802547611747e-05
fig|6666666.230262.peg.1477	-1.74053800093547	5.06737554222652	23.370662221028	1.33600670093411e-06	1.91009274866223e-05
fig|6666666.230262.peg.79	-1.30104550349623	5.35163655193489	22.7010659828158	1.89262846547691e-06	2.63629148310159e-05
fig|6666666.230262.peg.1080	1.11696776320665	5.13113869945365	21.2927557762558	3.94218459420478e-06	4.99343381932606e-05
fig|6666666.230262.peg.2923	-1.0588429695023	5.64969199327531	21.0053026687292	4.58013967208221e-06	5.6851475815072e-05
fig|6666666.230262.peg.875	1.16192225875682	4.69267377081968	20.9226096790597	4.78216740586464e-06	5.83559132456496e-05
fig|6666666.230262.peg.4312	-1.56709990191037	4.69825116819629	19.8541453309744	8.35812885284372e-06	9.52826689224185e-05
fig|6666666.230262.peg.766	2.12695497834944	2.844990283726	19.8181401065163	8.51705297255115e-06	9.65860562227528e-05
fig|6666666.230262.peg.2881	-1.03419139290573	5.45173331420612	19.3600231391769	1.08249566461474e-05	0.000119019574089114
fig|6666666.230262.peg.851	1.42137180950071	3.86229864874187	19.0826089863466	1.25180406567962e-05	0.000135232299564193
fig|6666666.230262.peg.924	-1.12573793541087	5.72857796763736	18.6150393597374	1.59953701026414e-05	0.000167843299665647
fig|6666666.230262.peg.961	-1.01935853010112	5.63968034755444	17.4431012501149	2.96036684841602e-05	0.000292125494016815
fig|6666666.230262.peg.1941	-1.01799177789484	5.43129368554545	17.2760680797253	3.23232320689103e-05	0.000315238276926003
fig|6666666.230262.peg.517	-1.09135999688344	5.16790471955721	16.9897474209696	3.75822110907158e-05	0.000362597190300626
fig|6666666.230262.peg.3465	-1.39123820027682	4.989913478114	16.3599840939464	5.23794984160719e-05	0.000489025834350051
fig|6666666.230262.peg.4164	2.44783872222737	2.4494333185742	15.4311043030851	8.55682185682167e-05	0.000761153024307012
fig|6666666.230262.peg.1966	-1.06520775570686	5.17744694464816	14.5638465527248	0.000135489292224633	0.00114636643343186
fig|6666666.230262.peg.4130	-5.78368848582243	2.23897778502088	14.5439862915648	0.000136924994343621	0.00115625550779058
fig|6666666.230262.peg.2005	1.7909611924462	3.12855037584536	14.3177741668356	0.000154400131448563	0.00127677864176883
fig|6666666.230262.peg.2991	-1.00466538243587	5.44494666510555	14.1460740420796	0.000169149719486276	0.00138255959398972
fig|6666666.230262.peg.4374	1.02471154072231	4.90086713942801	14.0101646848205	0.000181825042046016	0.00146952627265549
fig|6666666.230262.peg.2178	-1.22960797343309	5.03186143499122	13.9249717721965	0.000190253968554904	0.00151782724084686
fig|6666666.230262.peg.3898	-1.08002211098657	5.51353135321773	13.5067923113479	0.000237701505821438	0.00184869465568845
fig|6666666.230262.peg.1472	-1.66955287262126	4.23606740093811	13.4271937086334	0.000248002833693783	0.00192191104751604
fig|6666666.230262.peg.3397	2.40169917526329	2.57402493111395	13.15931729549	0.000286093101396865	0.00214792948917023
fig|6666666.230262.peg.164	-1.32590932905143	4.89513006259743	13.0568618835055	0.000302175297078488	0.00224314920947664
fig|6666666.230262.peg.3519	-1.76915033908525	3.95804955675619	12.8632494003137	0.000335098223147443	0.00245436910568535
fig|6666666.230262.peg.3457	-1.21431118012161	4.67215124511408	12.8128238006143	0.000344251595096646	0.00250217770127294
fig|6666666.230262.peg.4280	-1.26623014483145	4.58233874450577	12.6091661296852	0.000383859712524922	0.00276225959245508
fig|6666666.230262.peg.2609	-1.13016812206009	5.08698677348345	12.4208916391968	0.000424557487787158	0.00302995558005596
fig|6666666.230262.peg.3025	-1.27415419260231	4.55767897199803	12.3586452578264	0.00043894909328667	0.00309191458880952
fig|6666666.230262.peg.1470	-2.17398460589957	3.80102873349729	12.3206754928308	0.000447968560299392	0.00312999968260801
