gene	logFC	logCPM	LR	PValue	FDR
fig|6666666.230262.peg.2256	-0.744702746	9.419233172	52.23586533	4.92E-13	1.85E-11
fig|6666666.230262.peg.2931	0.752078151	9.030373184	51.79877789	6.15E-13	2.30E-11
fig|6666666.230262.peg.135	0.934518675	9.133325225	51.46932433	7.27E-13	2.69E-11
fig|6666666.230262.peg.165	-2.168468119	5.455833689	50.56537015	1.15E-12	4.23E-11
fig|6666666.230262.peg.683	-0.912712701	7.660379815	50.38757062	1.26E-12	4.59E-11
fig|6666666.230262.peg.2725	1.023858409	10.04164767	50.3620028	1.28E-12	4.62E-11
fig|6666666.230262.peg.1505	0.716356355	8.127585806	50.32026836	1.31E-12	4.68E-11
fig|6666666.230262.peg.347	-0.718936396	8.969278961	49.7299089	1.76E-12	6.26E-11
fig|6666666.230262.peg.2210	1.738079167	4.889362293	49.4655833	2.02E-12	7.11E-11
fig|6666666.230262.peg.3363	0.822148156	11.68945176	49.26962681	2.23E-12	7.79E-11
fig|6666666.230262.peg.2153	0.639497837	10.73169377	48.94112389	2.64E-12	9.14E-11
fig|6666666.230262.peg.2656	0.62689829	10.40220055	48.7801	2.86E-12	9.84E-11
fig|6666666.230262.peg.2446	0.636309876	10.44200155	48.63389226	3.08E-12	1.05E-10
fig|6666666.230262.peg.512	-1.034731316	6.93718022	47.67534213	5.03E-12	1.70E-10
fig|6666666.230262.peg.3428	1.03929657	6.227264808	47.6124149	5.19E-12	1.74E-10
fig|6666666.230262.peg.1082	0.874106465	7.045141799	47.29427039	6.11E-12	2.04E-10
fig|6666666.230262.peg.599	1.191148518	6.131253308	46.59191642	8.74E-12	2.89E-10
fig|6666666.230262.peg.4001	0.698473811	10.30215407	46.48163497	9.25E-12	3.04E-10
fig|6666666.230262.peg.682	-0.915686523	7.554842256	46.29859561	1.02E-11	3.31E-10
fig|6666666.230262.peg.4002	0.649067121	10.90787262	46.20943558	1.06E-11	3.44E-10
fig|6666666.230262.peg.2248	0.757463085	12.46067775	45.12160949	1.85E-11	5.94E-10
fig|6666666.230262.peg.3718	0.82787187	7.264480539	44.6761327	2.32E-11	7.40E-10
fig|6666666.230262.peg.833	0.588440736	10.9850175	44.56653284	2.46E-11	7.77E-10
fig|6666666.230262.peg.3200	0.697225548	9.553040695	44.40856183	2.67E-11	8.37E-10
fig|6666666.230262.peg.1327	-1.364453064	6.116152022	43.83179473	3.58E-11	1.12E-09
fig|6666666.230262.peg.130	0.840282758	6.929162476	43.7920183	3.65E-11	1.13E-09
fig|6666666.230262.peg.1391	-0.729270376	8.426484327	43.23676108	4.85E-11	1.49E-09
fig|6666666.230262.peg.3084	1.154779219	6.308678869	43.15109791	5.07E-11	1.55E-09
fig|6666666.230262.peg.1389	-0.778116835	8.903527098	43.11638811	5.16E-11	1.55E-09
fig|6666666.230262.peg.1939	0.648937943	8.512507443	43.11491381	5.16E-11	1.55E-09
fig|6666666.230262.peg.1666	0.571264486	11.26394083	42.58346232	6.77E-11	2.02E-09
fig|6666666.230262.peg.1755	0.826006322	7.887056009	42.5689409	6.82E-11	2.02E-09
fig|6666666.230262.peg.4137	0.670235062	8.770797669	42.48062814	7.14E-11	2.10E-09
fig|6666666.230262.peg.3413	0.689020031	8.571206727	42.1475532	8.46E-11	2.48E-09
fig|6666666.230262.peg.1230	0.777813492	8.102019336	42.08469427	8.74E-11	2.54E-09
fig|6666666.230262.peg.3314	0.807612578	7.139310175	42.02406511	9.02E-11	2.60E-09
fig|6666666.230262.peg.2726	0.621233724	9.99591404	41.43443903	1.22E-10	3.50E-09
fig|6666666.230262.peg.611	0.913891467	7.837616792	41.34588649	1.28E-10	3.63E-09
fig|6666666.230262.peg.563	0.767560189	7.684593349	40.30051108	2.18E-10	6.17E-09
fig|6666666.230262.peg.3563	0.592588799	11.33765501	40.1697999	2.33E-10	6.55E-09
fig|6666666.230262.peg.900	0.895236155	7.09129586	39.84930679	2.74E-10	7.67E-09
fig|6666666.230262.peg.3098	0.602842478	8.403765321	39.76763498	2.86E-10	7.94E-09
fig|6666666.230262.peg.2436	0.822012363	7.933086053	39.40682267	3.44E-10	9.49E-09
